DOY,HOUR,MIN,Year,SEC,MSEC,DECIMALDAY,BX(nT),BY(nT),BZ(nT),RANGE,POSNX(km),POSNY(km),POSNZ(km),Distance from Sun(AU),XCOM(nT)R^2,Magnitude,atan2(y/x),angle,originalangle,CorrectedAngle
321.0,20.0,29.5,2012.0,30.0,966.2833333333333,321.8541778583331,0.9751666666666668,2.6941666666666664,-1.7233333333333327,0.0,328884438.49833333,-0.5894833333333326,-0.24000000000000019,2.1984253910316403,4.7130561738494405,4.7130561738494405,135.8518668799126,65.75535943400482,70.09650744590782,135.8518668799126
321.0,21.0,29.5,2012.0,30.0,961.9,321.89584447666664,0.9614999999999998,3.125666666666667,-1.3566666666666662,0.0,328872772.28999996,-0.5884000000000005,-0.24000000000000019,2.198347408355615,4.646666586248731,4.646666586248731,138.6400681336131,65.75459844900583,72.88546968460727,138.6400681336131
321.0,22.0,29.5,2012.0,30.0,957.4833333333333,321.9375110866667,0.8609999999999997,3.2733333333333343,-1.1683333333333334,0.0,328861099.3633333,-0.5873000000000002,-0.24000000000000019,2.198269380770945,4.160701058292683,4.160701058292683,141.04305525598292,65.75383698084573,75.28921827513719,141.04305525598292
321.0,23.0,29.5,2012.0,30.0,953.0833333333334,321.97917770166674,0.7535000000000001,3.3363333333333336,-0.7186666666666669,0.0,328849419.71333325,-0.5862166666666659,-0.24000000000000019,2.1981913082442066,3.6409462191402784,3.6409462191402784,143.02136241514523,65.75307502911707,77.26828738602813,143.02136241514523
322.0,0.0,29.5,2012.0,30.016666666666666,935.1666666666666,322.0208443566668,0.8793333333333334,3.198166666666667,-1.3494999999999995,0.0,328837733.3283333,-0.5851166666666673,-0.24000000000000019,2.198113190697415,4.248689507404856,4.248689507404856,140.35843615182458,65.75231259297726,74.60612355884732,140.35843615182458
322.0,1.0,29.5,2012.0,30.0,944.2666666666667,322.06251093500015,0.7691666666666664,3.167000000000001,-1.2086666666666668,0.0,328826040.2416668,-0.5839666666666664,-0.24000000000000019,2.1980350283533867,3.7161230095727027,3.7161230095727027,142.06627059156202,65.75154967451951,76.31472091704244,142.06627059156202
322.0,2.0,29.5,2012.0,30.0,939.9166666666666,322.10417755500004,0.7106666666666668,3.264499999999999,-0.6003333333333332,0.0,328814340.41666675,-0.5828499999999994,-0.24000000000000019,2.1979568209670233,3.433238479313751,3.433238479313751,143.4609896019194,65.75078627127007,77.7102033306493,143.4609896019194
322.0,3.0,29.5,2012.0,30.716666666666665,309.48333333333335,322.14584521999984,0.5081666666666668,3.3103333333333347,-0.44983333333333336,0.0,328802633.5866667,-0.5817500000000007,-0.24000000000000019,2.1978785667557927,2.4547927240042924,2.4547927240042924,147.02494055327014,65.75002236574574,81.27491818752439,147.02494055327014
322.0,4.0,29.5,2012.0,31.0,56.083333333333336,322.1875122316665,0.17683333333333343,3.038666666666667,-1.1468333333333331,0.0,328790920.2033333,-0.5806499999999991,-0.24000000000000019,2.197800268738859,0.8541701368280606,1.3822793102572888,152.4467971826842,65.7492579873372,86.69753919534693,152.4467971826842
322.0,5.0,29.5,2012.0,31.0,51.733333333333334,322.22917884166657,0.7331666666666664,3.155499999999999,-0.6986666666666664,0.0,328779200.2083333,-0.5795666666666667,-0.24000000000000019,2.197721926526292,3.5411672468774826,3.5411672468774826,142.7038908620161,65.74849313215726,76.95539772985886,142.7038908620161
322.0,6.0,29.5,2012.0,31.0,47.28333333333333,322.27084546000003,0.6171666666666668,3.4483333333333333,-0.5356666666666665,0.0,328767473.49,-0.5784666666666668,-0.24000000000000019,2.1976435393716574,2.9806893783391812,2.9806893783391812,145.60221753421828,65.74772779283755,79.85448974138076,145.60221753421828
322.0,7.0,29.5,2012.0,31.0,42.916666666666664,322.3125120766668,0.7348333333333337,3.464166666666665,-0.45266666666666655,0.0,328755740.06000006,-0.5773833333333339,-0.24000000000000019,2.197565107352941,3.548713503543811,3.548713503543811,143.7859805871759,65.74696197005771,78.0390186171183,143.7859805871759
322.0,8.0,29.5,2012.0,31.0,38.483333333333334,322.3541786950001,0.5771666666666666,3.457166666666666,-0.3143333333333333,0.0,328743999.89500004,-0.5762833333333337,-0.24000000000000019,2.1974866303141716,2.787125282344972,2.7967828610492416,146.30250536597765,65.74619566221297,80.55630970376477,146.30250536597765
322.0,9.0,29.5,2012.0,31.0,34.083333333333336,322.3958453116667,0.136,3.500666666666667,-0.5688333333333333,0.0,328732253.0,-0.5751999999999998,-0.24000000000000019,2.1974081082887698,0.6566621390340387,1.3632648251841744,153.57074292719213,65.74542886954754,87.82531405764458,153.57074292719213
322.0,10.0,29.5,2012.0,31.0,29.716666666666665,322.4375119216667,0.33849999999999997,3.527666666666666,-0.6266666666666665,0.0,328720499.38499993,-0.5741000000000006,-0.24000000000000019,2.1973295413435836,1.6343796106572372,1.6520825973844326,150.3135374059325,65.74466159263224,84.56887581330025,150.3135374059325
