DOY,Magnitude,angle
86.0,5.038074017728514,-69.7052850305752
87.0,2.9994579522534326,-96.67376775158627
88.0,3.736096993476191,-116.69032867375886
89.0,3.305794636027484,-93.15121970408258
90.0,3.868873753365395,-38.657244414671936
91.0,3.1194211810749555,43.721670820254566
92.0,4.0967432421316055,55.80120916871733
93.0,4.074289505517941,86.06952691550912
94.0,3.0508991114974138,90.87290543576769
95.0,2.1580587663171067,72.78158265307975
96.0,1.4120601372118717,66.45779525852691
97.0,1.358833239883712,59.801158108733816
98.0,2.315242885802947,91.97022104906826
99.0,3.1316297536759548,47.41192290797622
100.0,4.835653908185008,-10.906340711118768
101.0,2.632996693652682,13.674382931366413
102.0,2.9836370315473624,-56.84602129869271
103.0,2.0606489095708533,-16.848718328941324
104.0,3.04279762701572,-49.108543080035595
105.0,6.061112730279839,-32.32006263109693
106.0,4.872970873878771,-67.51834334701137
107.0,2.7006294688807424,-73.01976155943422
108.0,2.9017122845566385,-44.83754417302021
109.0,3.5650678830313747,-62.8941984795215
110.0,3.928428927688702,19.167630015442068
111.0,3.4224635411418047,75.52362411409256
112.0,2.212992892512921,87.39394015038086
113.0,2.811377189439038,101.50119120423136
114.0,4.072416037557376,137.19308942887344
115.0,2.0130612374411525,101.00143458112531
116.0,1.5268851570562538,66.86107490860906
117.0,2.5776554610606905,-41.93122363929333
118.0,2.343750428182257,-79.4888088573843
119.0,1.8120694019582186,-98.34893526107713
120.0,6.119136304715644,63.896337091214264
121.0,6.752039876709315,93.39805890829801
122.0,5.153409145279274,91.82544298973822
123.0,4.0090322541247145,97.31890615615549
124.0,3.176896372951753,95.83193763145923
125.0,2.918920284820325,63.27757696713078
126.0,3.6885281254282267,0.2728280462500087
127.0,4.156282231298621,82.87793413354083
128.0,4.569696459333477,-81.39953571760796
129.0,4.00452400998002,-15.006735892120965
130.0,3.2218575801714686,46.400122511406494
131.0,1.9790492042946397,-24.352544634778912
132.0,4.57065474777861,-65.0881205922867
133.0,5.3376489169013945,-81.79283350998514
134.0,3.2220363973869706,-57.27336554636921
135.0,2.6715958837632545,-64.35935549813018
136.0,1.9577606920996176,-84.67710295657766
137.0,2.785802006633811,48.61122366714191
138.0,3.5024319750409845,57.10488513445714
139.0,4.721425668497693,83.43228079553401
140.0,4.386606916810843,106.3693391351273
141.0,3.29310760218065,91.78833934520787
142.0,3.8812376897319147,105.9147441955658
143.0,3.057972109645327,61.77130638828505
144.0,2.129509414137184,-68.98215117611728
145.0,2.6391757480551403,-37.807872745201585
146.0,4.171701737084037,-24.82730313105027
147.0,4.01990844162208,25.01142365918287
148.0,2.5031424699155633,33.65365026311172
149.0,2.7825926348369876,72.38247348838641
150.0,1.8204643356580217,63.05008027010875
151.0,3.2583254992058066,90.51700693150745
152.0,2.9322058649109812,68.56821761584756
153.0,1.5146330386943816,59.73792243821875
154.0,1.7512394750515492,52.28291741854048
155.0,2.2994190670401697,94.56495808183976
156.0,1.2721392240338538,38.18880465274027
157.0,1.7788380809826934,63.104534770912565
158.0,3.5515728375203404,-49.583526184617234
159.0,6.128798735225078,-71.98769915860993
160.0,2.9321732308237745,-64.86742275884744
161.0,2.4289301219152155,-67.50475089872626
162.0,2.0964631596518544,-73.92691176279604
163.0,2.5665709472944314,73.24025680037883
164.0,2.6756443584501004,65.25801581119492
165.0,4.042032418840358,61.04826860829027
166.0,2.6473388258641677,83.94082958563203
167.0,1.9452769466650939,58.78836278161909
168.0,1.7151461772855687,48.58341887968929
169.0,2.6191784902926827,56.50678228783504
170.0,2.3720069479362236,92.1481955784495
171.0,2.747321218107456,87.11906620772162
172.0,3.167785560348441,75.71200567540251
173.0,6.245171568264348,40.9586481244213
174.0,6.661524007189479,-2.1959046687633523
175.0,5.1336797217322685,78.59349634705289
176.0,2.963195081762308,-41.027207490744345
177.0,3.6748339276344715,75.45509426229629
178.0,5.378905515333338,86.10454542553377
179.0,2.624440526429005,4.433727265239828
180.0,1.9668108411680694,5.482192046898093
181.0,1.370146743638375,24.324689845841238
182.0,2.0307581013502567,69.30046818571776
183.0,2.3748494618693528,103.76790705848515
184.0,1.4427890809913635,33.569096596262675
185.0,3.5127128430429986,-81.64911537709312
186.0,4.784835312313057,-76.60061906084721
187.0,2.8318070526777275,-94.8804520626612
188.0,2.6478406911379966,-88.09309543266582
189.0,1.6400576398208948,-102.5870013285295
190.0,2.7488586789637695,-76.05325497827586
191.0,5.141749702416462,-59.930992057889064
192.0,4.282581234718753,77.3800856955134
193.0,2.442756890221133,97.05954862208283
194.0,4.182370937249854,109.1740479079399
195.0,4.26628784812499,91.11854556665324
196.0,4.136480359745094,93.77914410874163
197.0,1.895517043172198,83.59258521933354
198.0,1.1598132555300573,50.295117905586835
199.0,0.9389198178856393,53.5936220356971
200.0,1.4743635800546107,79.84966992868232
201.0,3.1413333161986423,95.6545042309575
202.0,4.62562294076623,83.41423896506357
203.0,4.473919244454473,66.97359945325964
204.0,4.19090471540994,79.48020461923143
205.0,3.427828566637233,85.74208258023312
206.0,3.1495897020860855,84.19408053850673
207.0,2.7661725408488285,73.56372426071121
208.0,2.547761466707915,70.96649193895936
209.0,2.4163441651491615,82.84417435697095
210.0,1.3777182157283598,58.015483528635215
211.0,3.795351184574838,-0.8440807600667114
212.0,5.890627396613329,-85.35532791608583
213.0,4.01496397549382,-79.61691976650789
214.0,2.8069109881816945,-88.42428249419827
215.0,1.8914387315586993,-101.62233238979967
216.0,2.4213491505368094,-95.00848053266213
217.0,2.7006074956641415,-84.74210856055294
218.0,4.749784734523675,31.832849239065332
219.0,4.8662570661380435,90.90549740126222
220.0,3.961279977948475,79.77821780960159
221.0,2.6577881118520277,79.18424401794405
222.0,2.712811523378454,64.61307395849107
223.0,2.3036737453540765,32.635185058682545
224.0,2.7796921597455646,48.67455368567906
225.0,3.458343302773753,96.13470234392562
226.0,5.947211704453461,98.16688241556571
227.0,5.924426671842013,58.60761721989573
228.0,3.3664091562807212,73.42553461968907
229.0,2.462406379948204,78.99960976260884
230.0,2.246766745026758,76.46787584954065
231.0,2.670758455037539,65.55372407243844
232.0,3.160126582280185,82.39083481984764
233.0,2.969113274577751,87.65199939312103
234.0,4.217472995800253,75.75600938209456
235.0,4.777903509641343,95.3263548513128
236.0,1.699321688799991,74.86495767696853
237.0,1.9708165962808453,69.63779666138319
