DOY,Magnitude,angle
134.0,3.236530209970648,48.05645516301339
135.0,2.4439630537276034,-101.23489831995744
136.0,2.186672016986527,-102.80362268944982
137.0,1.5810398875159521,-102.98126574138628
138.0,2.2787146184553073,-121.32028716066715
139.0,1.2780862936036022,-95.86640514584796
140.0,1.958443551949064,-86.40464225039139
141.0,4.341543317122627,-81.8470827352356
142.0,4.099890985036592,-100.6567632959079
143.0,3.813543419423716,-97.11933270495098
144.0,3.1604744680899826,-96.88104878153344
145.0,3.812978097421906,-71.06284954098533
146.0,4.023755177323555,75.0162836755525
147.0,3.846289234518413,72.98767944797625
148.0,3.3267160972132763,101.1779818492301
149.0,2.4205400172135545,115.56685631221588
150.0,1.21753213370767,70.95451991006382
151.0,4.666351913531781,104.40200684175797
152.0,3.240710380243637,42.94234963305531
