DOY,HOUR,MIN,year,SEC,DECIMALDAY,BX(nT),BY(nT),BZ(nT),RANGE,POSNX(km),POSNY(km),POSNZ(km),R^2 Br,Distance from Sun(AU),XCOM(nT)R^2,Magnitude,atan2(y/x),angle,originalangle,CorrectedAngle
312.0,6.0,29.5,2015.0,21.0,312.27073091000005,0.1296666666666667,-0.2744999999999998,0.015500000000000007,0.0,773982765.0449997,-30.535183333333357,-0.3070000000000001,3.4523063894833332,5.173681584525406,3.4707926021826405,3.4707926021826405,14.160848280249912,79.16646664814215,-65.0056183678922,14.160848280249912
312.0,7.0,29.5,2015.0,21.0,312.31239752999977,0.16800000000000004,-0.27049999999999985,0.03366666666666669,0.0,773995229.3116667,-30.536150000000006,-0.30745000000000006,4.4730394064166665,5.173764901815958,4.496991381846096,4.496991381846096,20.81253840199186,79.16663698078622,-58.35409857879436,20.81253840199186
312.0,8.0,29.5,2015.0,21.0,312.3540641566666,0.15066666666666675,-0.27216666666666645,0.06549999999999997,0.0,774007691.6333333,-30.537133333333355,-0.3079999999999999,4.011670976433334,5.173848206105175,4.0331524425791265,4.0331524425791265,18.06547555589085,79.16680728155968,-61.10133172566883,18.06547555589085
312.0,9.0,29.5,2015.0,21.0,312.3957307783333,0.11383333333333337,-0.2814999999999998,0.07566666666666669,0.0,774020151.9899999,-30.53811666666667,-0.3079999999999999,3.031042862066668,5.173931497259362,3.0472733168701205,3.0472733168701205,11.120963899428327,79.16697755019196,-68.04601365076363,11.120963899428327
312.0,10.0,29.5,2015.0,21.0,312.43739740000007,0.11833333333333337,-0.26616666666666655,0.12966666666666668,0.0,774032610.3950002,-30.539083333333323,-0.3079999999999999,3.1509579955333336,5.1740147753676515,3.1678305650828733,3.1678305650828733,13.061548108284516,79.16714778686796,-66.10559967858346,13.061548108284516
312.0,11.0,29.5,2015.0,21.0,312.47906402166683,0.10383333333333336,-0.253,0.14450000000000002,0.0,774045066.8583335,-30.54006666666664,-0.3079999999999999,2.7649488962999995,5.174098040496883,2.779754486427307,2.779754486427307,11.504141083374554,79.16731799172709,-67.66317690835251,11.504141083374554
312.0,12.0,29.5,2015.0,21.0,312.52073063666677,0.1596666666666667,-0.17633333333333337,0.17750000000000002,0.0,774057521.3549999,-30.541049999999988,-0.3079999999999999,4.251851161883333,5.174181292479954,4.27461873117699,4.27461873117699,31.30615312675981,79.1674881644304,-47.8613350376706,31.30615312675981
312.0,13.0,29.5,2015.0,21.0,312.56239725833325,0.1428333333333333,-0.15266666666666667,0.16166666666666674,0.0,774069973.9049996,-30.542016666666637,-0.3079999999999999,3.8037088288499996,5.174264531450542,3.8240767112509655,3.8240767112509655,32.28326419002361,79.167658305254,-46.88439411523037,32.28326419002361
312.0,14.0,29.5,2015.0,21.0,312.60406388166655,0.027333333333333352,-0.20866666666666667,0.0713333333333333,0.0,774082424.5049996,-30.542999999999953,-0.3079999999999999,0.727902371683333,5.174347757386365,0.7318001016813435,1.9098600576458689,0.9195826269407715,79.16782841415498,-78.24824578721422,0.9195826269407715
312.0,15.0,29.5,2015.0,21.0,312.6457305066666,-0.12450000000000001,-0.23900000000000013,0.040333333333333325,0.0,774094873.145,-30.544000000000036,-0.3081166666666667,-3.3157051855166673,5.174430970220596,-3.333459933887234,3.333459933887234,-37.947020430983216,79.16799849099945,-117.11501892198268,-37.947020430983216
